transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,merchant_clean,status_clean,risk_score_clean,region_clean,amount_usd,high_risk_flag
T001,2026-03-01,alpha mart,420000,INR,captured,score:62,APAC,U001,UPI,Alpha Mart,SUCCESS,62,APAC,4998,0
T002,2026-03-01,ALPHA MART,210000,INR,Captured,55,,U002,Card,Alpha Mart,SUCCESS,,,2499,0
T003,2026-03-01,BETA STORES,510000,INR,CAPTURED,71,APAC,U003,NetBanking,Beta Stores,SUCCESS,,APAC,6069,0
T004,2026-03-02,Beta  Stores,160000,INR,failed e05 timeout,68,apac,U004,Card,Beta Stores,FAILED,,APAC,1920,0
T005,2026-03-02,Alpha Mart,390000,INR,CAPTURED,58,,U001,UPI,Alpha Mart,SUCCESS,,,4680,0
T006,2026-03-02,Beta  Stores,275000,INR,Captured,score:64,,U005,Wallet,Beta Stores,SUCCESS,64,,3300,0
T007,2026-03-02,Alpha  Mart,450000,INR,chargeback,risk-83,APAC,U006,Card,Alpha Mart,CHARGEBACK,83,APAC,5400,1
T008,2026-03-03,BETA STORES,340000,INR,Captured,59,,U007,UPI,Beta Stores,SUCCESS,,,4114,0
T009,2026-03-03,Alpha Mart,125000,INR,captured,46,APAC,U002,Wallet,Alpha Mart,SUCCESS,,APAC,1512.5,0
T010,2026-03-03,Beta Stores,610000,INR,captured,risk-77,,U003,Card,Beta Stores,SUCCESS,77,,7381,1
T011,2026-03-03,Alpha  Mart,195000,INR,FAILED e05 TIMEOUT,,,U008,UPI,Alpha Mart,FAILED,,,2359.5,0
T012,2026-03-04,Beta  Stores,250000,INR,captured,risk-61,APAC,U009,Card,Beta Stores,SUCCESS,61,APAC,3000,0
T013,2026-03-04,alpha mart,310000,INR,captured,score:54,APAC,U010,UPI,Alpha Mart,SUCCESS,54,APAC,3720,0
T014,2026-03-04,Beta  Stores,470000,INR,captured,risk-73,APAC,U001,NetBanking,Beta Stores,SUCCESS,73,APAC,5640,1
T015,2026-03-04,Alpha Mart,130000,INR,captured,score:52,,U002,Card,Alpha Mart,SUCCESS,52,,1560,0
T016,2026-03-05,Beta  Stores,220000,INR,failed E05 timeout,risk-69,,U008,Card,Beta Stores,FAILED,69,,2596,0
T017,2026-03-05,Beta  Stores,180000,INR,Failed E05 Timeout,score:72,apac,U008,Card,Beta Stores,FAILED,72,APAC,2124,1
T018,2026-03-05,BETA STORES,145000,INR,chargeback,risk-86,APAC,U008,UPI,Beta Stores,CHARGEBACK,86,APAC,1711,1
T019,2026-03-05,Alpha  Mart,260000,INR,Failed E05 Timeout,score:67,apac,U008,Wallet,Alpha Mart,FAILED,67,APAC,3068,0
T020,2026-03-05,Alpha Mart,520000,INR,Captured,75,APAC,U005,UPI,Alpha Mart,SUCCESS,,APAC,6136,0
T021,2026-03-06,beta stores,330000,INR,captured,score:63,,U006,Card,Beta Stores,SUCCESS,63,,3927,0
T022,2026-03-06,ALPHA MART,410000,INR,captured,60,APAC,U007,UPI,Alpha Mart,SUCCESS,,APAC,4879,0
T023,2026-03-01,City Pharma,5200,EUR,Captured,42,EU,U003,Card,City Pharma,SUCCESS,,EU,5616,0
T024,2026-03-02,Eco Home,6100,EUR,chargeback,score:65,EU,U004,Card,Eco Home,CHARGEBACK,65,EU,6649,1
T025,2026-03-03,City Pharma,2800,EUR,captured,38,eu,U005,Wallet,City Pharma,SUCCESS,,EU,3024,0
T026,2026-03-05,Eco Home,3300,EUR,Failed E05 Timeout,44,EU,U006,NetBanking,Eco Home,FAILED,,EU,3597,0
T027,2026-03-01,DELTA TRAVELS,7200,USD,captured,49,us,U007,Card,Delta Travels,SUCCESS,,US,7200,0
T028,2026-03-02,Delta Travels,3100,USD,CAPTURED,risk-41,US,U008,Card,Delta Travels,SUCCESS,41,US,3100,0
T029,2026-03-04,delta travels,2500,USD,chargeback,score:58,US,U009,Wallet,Delta Travels,CHARGEBACK,58,US,2500,1
T030,2026-03-06,DELTA TRAVELS,1800,USD,Failed E05 Timeout,score:47,US,U010,UPI,Delta Travels,FAILED,47,US,1800,0
